village,population_2010,latitude,longitude,type,adm_center,district,region,language,dialect
Подчерье,710,63.9396178,57.5606392,село,Подчерье,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Подъельск,585,61.9191455,52.6929683,село,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пожег,424,61.9812316,54.330793,село,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пожегдин,352,62.0074913,54.3290992,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пожня,352,63.5593732,54.000667,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Позтыкерес,176,61.5689711,51.5513232,село,Позтыкерес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Позялэм,36,61.974648,50.1637672,посёлок,Слудка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Покча,312,62.9448863,56.1207293,село,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Политовка,1,62.3806648,50.7120795,деревня,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Политово,NA,64.0846876,48.8616121,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Половники,2,62.4849376,50.797883,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Поляна,726,63.5454281,54.0750957,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Помоздино,1390,62.1939074,54.1826391,село,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Порожск,101,63.9176062,53.7469086,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Поромес,104,64.1699857,53.5626148,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Поромшор,17,59.6760104,49.4160742,деревня,Летка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Поруб,37,60.7377462,48.9801433,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Поруб-Кеповская,64,60.7645146,48.9904844,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian,NA
Праскан,44,66.3147638,56.1040574,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Приполярный,0,66.452067,57.155373,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,NA
Приуральский,450,62.6244727,57.4657764,посёлок,Приуральский,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Приуральское,318,64.7345511,57.8723199,село,Приуральское,Печора,Республика Коми,Komi-Zyrian,Pechora
Причал,81,64.5658009,56.3144805,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Прокопьевка,6,59.280832,49.6773591,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Luza-Letka
Прокопьевка,6,61.8940792,50.1545845,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Промышленный,0,67.6069945,63.9157209,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Пузла,317,62.4288303,54.6554231,деревня,Вольдино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Пустыня,NA,64.5081118,48.4945638,NA,NA,Ижемский район,Республика Коми,Komi-Zyrian,NA
Путеец,1116,65.1710387,57.079736,пгт,Путеец,Печора,Республика Коми,Komi-Zyrian,Iźva
Пычим,15,61.9656565,50.3695259,посёлок,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Раевсикт,61,60.9662366,50.2413334,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Разгорт,20,61.3573323,50.5659217,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Разгорт,20,63.4772028,48.6970905,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Udora
Раковица,11,62.6421957,50.9138426,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Ракпас,665,62.6810661,51.1081397,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Речной,4,61.7189335,57.2993831,посёлок,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Роговая,69,66.5369763,60.571385,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Родионово,1,65.4925525,57.0561091,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Ропча,198,63.0350608,52.306212,посёлок,Иоссер,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Рочево,261,65.4728438,51.5595775,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Русаново,262,62.9284926,56.1760354,посёлок,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Русановская,13,62.3327822,52.8726304,деревня,Нившера,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Руч,767,61.8140622,53.1827368,село,Руч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Рыбница,151,64.5586766,55.4778251,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Савапиян,107,61.4118351,50.5841004,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Савинобор,15,63.5428927,56.4458489,деревня,Дутово,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Салехард,NA,66.5375387,66.6157469,NA,NA,город Салехард,Ямало-Ненецкий автономный округ,Komi-Zyrian,Iźva
Саранпауль,NA,64.2608627,60.9108354,NA,NA,Берёзовский район,Ханты-Мансийский автономный округ - Югра,Komi-Zyrian,Iźva
Светлый Родник,3,61.691564,57.961706,деревня,Комсомольск-на-Печоре,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Северный,9023,67.6003475,64.109086,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Седкыркещ,1999,61.7247996,50.9559551,пгт,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian,Prisyktyvkar
Седтыдин,1,61.8733316,54.5809748,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Седтыдор,252,60.556182,50.9919816,посёлок,Ужга,Койгородский район,Республика Коми,Komi-Zyrian,Upper Sysola
Седъю,1010,63.3960466,53.9660526,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Седъюдор,61,63.3989506,50.7482028,посёлок,Мещура,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Сейда,23,67.0515132,63.0828628,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,Iźva
Сёльыб,194,63.6914892,48.5682515,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian,Udora
Семуково,97,62.1832705,50.1435632,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Сергеево-Щелья,174,65.5194271,52.1604987,деревня,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Серёгово,483,62.3290594,50.6979915,село,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Сивомаскинский,525,66.6706445,62.5711,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,Iźva
Сизябск,1232,65.0652929,53.8575893,село,Сизябск,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Симва,10,62.8734457,51.9203176,посёлок,Синдор,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Синдор,2478,62.8661913,51.8991112,пгт,Синдор,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Синдор,2478,62.8108223,51.9852739,пгт,Синдор,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Синегорье,310,65.4489398,51.9812156,посёлок,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Скаляп,20,63.0642441,55.9635467,деревня,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Скитская,152,64.9534315,51.8265748,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Скородум,494,62.1427629,54.231861,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Слудка,192,61.9527866,50.180272,село,Слудка,Прилузский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Смолянка,653,61.6040412,54.8045141,посёлок,Югыдъяг,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Соколово,374,65.3491795,57.0175449,село,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Сордйыв,124,62.1833648,54.1399384,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Сотчемвыв,200,61.9861092,50.3129163,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Спаспоруб,605,60.6477204,49.0448987,село,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Среднее Бугаево,NA,65.99317,52.5207796,NA,NA,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Степановская,307,64.9735724,51.8891284,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Сторожевск,1756,61.9397482,52.3145936,село,Сторожевск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Студенец,526,62.1635521,50.5052794,посёлок,Студенец,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Сыктывкар,235006,61.6689734,50.834958,город,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian,Prisyktyvkar
Сыня,375,65.3708819,58.0379832,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian,NA
Сынянырд,24,65.993702,58.0810021,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Сюзяыб,170,62.2261369,52.4748579,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Сюлатуй,61,62.1442843,50.321072,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Талица,91,59.4513033,49.5694287,деревня,Гурьевка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Талый,340,64.6103151,55.690804,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Тарачево,2,60.411931,49.5320249,деревня,Читаево,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Тарко-Сале,NA,64.9086851,77.8030868,NA,NA,Пуровский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,Iźva
Тимасикт,13,61.923952,52.1771906,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Тимушбор,83,63.1282267,55.9730056,посёлок,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Тимшер,1082,61.9023869,55.1147295,посёлок,Тимшер,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Тобысь,83,63.2767989,53.0722917,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Том,740,64.4979132,53.3685276,посёлок,Том,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Тракт,764,62.6989281,51.287722,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Троицк,240,62.2294859,52.7213834,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Троицко-Печорск,7276,62.7144611,56.1853788,пгт,Троицко-Печорск,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Трофимовская,67,61.9064564,52.0983308,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Трубоседъёль,80,64.8921668,55.7403234,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Трусово,668,65.4619632,51.3768779,село,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Туискерес,208,62.1628579,50.2620757,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Тупицыно,15,61.9972074,50.4175043,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Туръя,120,62.8233667,50.6431508,село,Туръя,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Тыдор,13,62.197655,50.1602559,деревня,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Удор,24,62.5911661,50.8271065,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Уег,190,65.7385875,52.0655704,село,Уег,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Ужга,158,60.5175552,51.0314053,село,Ужга,Койгородский район,Республика Коми,Komi-Zyrian,Upper Sysola
Ульяново,130,61.8235617,53.5563097,посёлок,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Уляшево,17,65.4347922,57.0299004,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Урнышевская,95,60.6586828,49.0785971,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Уръёль,264,61.8400385,52.4990779,посёлок,Керес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Усадор,266,66.0261093,57.5011016,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Усинск,40827,65.995731,57.5571267,город,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Усогорск,NA,63.4295459,48.7061827,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Усть-Вачерга,NA,63.3699627,47.8972934,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Усть-Воктым,43,60.2530587,51.0290969,посёлок,Ком,Койгородский район,Республика Коми,Komi-Zyrian,NA
Усть-Воя,20,64.4572401,57.6645486,деревня,Усть-Соплеск,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Усть-Вымь,760,62.2250383,50.3962051,село,Усть-Вымь,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Усть-Ижма,529,65.3004389,52.9224919,деревня,Кельчиюр,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Усть-Илыч,415,62.5170513,56.7589718,село,Усть-Илыч,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Усть-Кара,NA,69.2508765,64.9375013,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,Iźva
Усть-Кожва,125,65.1444503,57.0016084,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Усть-Кулом,5141,61.6847921,53.6898605,село,Усть-Кулом,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Усть-Лыжа,345,65.6825348,56.6766714,село,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Усть-Лэкчим,690,61.7809649,51.703872,посёлок,Усть-Лэкчим,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Усть-Нем,706,61.6381934,54.8896814,село,Усть-Нем,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Усть-Пожег,123,61.9759682,50.2002991,посёлок,Слудка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Усть-Соплеск,151,64.3609581,57.6854194,посёлок,Усть-Соплеск,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Усть-Унья,60,61.808025,57.879058,село,Комсомольск-на-Печоре,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Усть-Уса,1028,65.9795764,56.9131379,село,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Усть-Ухта,1052,63.6199049,53.8819908,село,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Усть-Цильма,4877,65.4386814,52.1562095,село,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Устьево,26,63.5575649,47.8395785,деревня,Ёртом,Удорский район,Республика Коми,Komi-Zyrian,Udora
Ухта,99591,63.5624585,53.684243,город,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Филиппово,368,65.4357267,51.107226,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Фроловск,25,61.2846195,53.4621116,деревня,Зимстан,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Хабариха,395,65.8213293,52.3121983,село,Хабариха,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Ханты-Мансийск,NA,61.0034602,69.0191573,NA,NA,город Ханты-Мансийск,Ханты-Мансийский автономный округ - Югра,Komi-Zyrian,NA
Харп,NA,66.815163,65.8009163,NA,NA,Приуральский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,NA
Харсаим,NA,66.6003378,67.2907895,NA,NA,Прилузский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,NA
Харута,NA,66.8403782,59.5303351,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,Iźva
Харъяга,206,66.9247509,52.1696237,посёлок,Ёрмица,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Хонгурей,NA,67.5548126,51.9522208,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Хорей-Вер,NA,67.4228097,58.0500718,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,Iźva
Хоседа-Хард,NA,67.088611,59.349167,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Чальмны-Варрэ,NA,67.1694148,37.5983164,NA,NA,Ловозерский район,Мурманская область,Komi-Zyrian,NA
Чаркабож,136,65.7085754,54.7107665,деревня,Кипиево,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Часадор,14,62.3733102,50.7281,деревня,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Часово,506,62.0118698,50.657876,село,Часово,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Черноборская,15,65.1887709,53.656044,деревня,Сизябск,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Черногорская,79,65.0207777,52.3152864,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Чернореченский,541,62.757982,51.4860717,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Чернутьево,259,63.7675624,48.6323982,село,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian,Udora
Чёрный Яр,209,62.2191684,50.2876694,посёлок,Усть-Вымь,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Четдино,88,61.2653752,51.9336944,деревня,Мордино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Чижа,NA,67.0877223,44.3835447,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,Iźva
Чика,309,65.4869448,54.327898,деревня,Брыкаланск,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Чикшино,532,64.8963541,56.4256045,посёлок,Чикшино,Печора,Республика Коми,Komi-Zyrian,NA
Чим,454,63.4293213,48.2345014,посёлок,Чим,Удорский район,Республика Коми,Komi-Zyrian,Udora
Чиньяворык,1561,63.2087249,52.6719513,посёлок,Чиньяворык,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Читаево,281,60.4700536,49.5569357,село,Читаево,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Чуб,14,62.439891,50.2462492,посёлок,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Чупрово,170,64.2231224,46.5654558,село,Чупрово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Шапкино,NA,67.2363201,54.6498656,NA,NA,NA,NA,Komi-Zyrian,NA
Шежам,10,62.2965007,49.9598714,посёлок,Микунь,Усть-Вымский район,Республика Коми,Komi-Zyrian,NA
Шердино,122,63.4720049,56.4599465,посёлок,Дутово,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Шерляга,27,62.696337,56.3650089,посёлок,Мылва,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Шиляево,18,63.5501943,47.7773828,деревня,Ёртом,Удорский район,Республика Коми,Komi-Zyrian,Udora
Шорйыв,3,60.9079619,49.6558073,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Шошка,477,62.6995954,50.695994,село,Шошка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Vym
Шошка,477,61.5068063,50.7188471,село,Шошка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Шугрэм,278,60.953151,49.4460352,посёлок,Визиндор,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Шудаяг,3411,63.5288557,53.6088131,пгт,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Шэръяг,203,61.5987214,54.3315096,посёлок,Дон,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Щелино,NA,67.1253543,52.027664,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Щель,56,64.8190953,53.7730479,деревня,Мохча,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Щельябож,570,66.2931182,56.4543688,село,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Щельяюр,2934,65.3255572,53.4244441,посёлок,Щельяюр,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Щучье,NA,67.2636111,68.6761111,NA,NA,Прилузский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,NA
Ыб,NA,63.752894,47.533209,деревня,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Ыб,513,61.2691598,50.5786961,село,Ыб,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Ыбпом,4,60.5093673,51.0758761,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian,Upper Sysola
Ыджыдъяг,240,63.4505025,48.8964922,посёлок,Кослан,Удорский район,Республика Коми,Komi-Zyrian,Udora
Ыргеншар,200,65.2657466,53.407962,посёлок,Краснобор,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Эжол,74,61.8713636,52.8139959,деревня,Керес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Эжолты,41,62.0906456,50.1534763,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Югыдтыдор,24,62.6625125,53.8751015,деревня,Диасёръя,Усть-Куломский район,Республика Коми,Komi-Zyrian,NA
Юманьсикт,4,60.9723365,50.2260985,деревня,Пыёлдино,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Юсьтыдор,388,66.0527255,60.0882071,посёлок,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Яг,292,62.1184207,49.6456453,деревня,Гам,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Ягкедж,410,62.2904378,54.2109606,посёлок,Вольдино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ягъёль,25,66.3387349,59.7182044,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Язель,112,61.9611607,50.6111557,посёлок,Часово,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Якуньель,NA,59.3787196,49.7799211,NA,NA,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Якушевск,61,61.9387403,52.5056674,деревня,Вомын,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Якша,1025,61.8232003,56.8236969,посёлок,Якша,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Ярашъю,381,62.0912914,54.3606675,посёлок,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ярега,7806,63.4333208,53.5762953,пгт,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Ярпияг,87,66.5214223,62.0101713,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,Iźva
Яснэг,796,61.1797045,50.6350382,посёлок,Яснэг,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Каневка,NA,67.13475,39.65172,,,,Ловозерский район,Мурманская область,Komi-Zyrian,Iźva
Сосновка,NA,66.51667,40.6,,,,Ловозерский район,Мурманская область,Komi-Zyrian,Iźva
